#Individual Predictions of the 8 distinct states of the model:G2R
2.040385901927947998e-01,2.075589001178741455e-01,2.057717591524124146e-01,2.110425531864166260e-01,2.135622054338455200e-01,2.017153799533843994e-01,2.176008671522140503e-01,2.141531705856323242e-01
2.002627104520797729e-01,1.949892491102218628e-01,1.956242024898529053e-01,1.978188604116439819e-01,1.984507888555526733e-01,1.883572787046432495e-01,2.111302167177200317e-01,2.057373821735382080e-01
1.962078660726547241e-01,1.973762214183807373e-01,1.948859393596649170e-01,1.974000185728073120e-01,1.925413161516189575e-01,1.867795288562774658e-01,2.012647688388824463e-01,2.025464028120040894e-01
1.934909522533416748e-01,1.879264563322067261e-01,1.859323680400848389e-01,1.943882703781127930e-01,1.836072802543640137e-01,1.761752218008041382e-01,1.987184286117553711e-01,1.988521814346313477e-01
1.872665435075759888e-01,1.864617168903350830e-01,1.839929670095443726e-01,1.838396489620208740e-01,1.895375996828079224e-01,1.718903034925460815e-01,1.918530017137527466e-01,1.921301335096359253e-01
1.794698983430862427e-01,1.745273619890213013e-01,1.759118288755416870e-01,1.785204112529754639e-01,1.729402244091033936e-01,1.641414463520050049e-01,1.921347081661224365e-01,1.863313615322113037e-01
1.684851795434951782e-01,1.583435088396072388e-01,1.677924096584320068e-01,1.674435883760452271e-01,1.591828763484954834e-01,1.492145210504531860e-01,1.632455289363861084e-01,1.726085841655731201e-01
1.534173786640167236e-01,1.483333408832550049e-01,1.536378711462020874e-01,1.585208624601364136e-01,1.567037552595138550e-01,1.367254704236984253e-01,1.496582329273223877e-01,1.549693048000335693e-01
1.453757435083389282e-01,1.367948949337005615e-01,1.378958076238632202e-01,1.406773924827575684e-01,1.391686201095581055e-01,1.234068423509597778e-01,1.429557502269744873e-01,1.433768421411514282e-01
1.314298808574676514e-01,1.249207258224487305e-01,1.267943829298019409e-01,1.255274713039398193e-01,1.190303713083267212e-01,1.105726733803749084e-01,1.239036172628402710e-01,1.327813565731048584e-01
1.154452338814735413e-01,1.096149682998657227e-01,1.129801124334335327e-01,1.160148382186889648e-01,1.027918681502342224e-01,1.000077873468399048e-01,1.097352281212806702e-01,1.171659827232360840e-01
9.960546344518661499e-02,9.915447235107421875e-02,9.684133529663085938e-02,9.854866564273834229e-02,9.787335991859436035e-02,8.473587036132812500e-02,9.757643193006515503e-02,9.563270211219787598e-02
8.292175084352493286e-02,7.645356655120849609e-02,7.992256432771682739e-02,8.014564216136932373e-02,7.796384394168853760e-02,7.114011049270629883e-02,7.992251217365264893e-02,8.365824073553085327e-02
6.027915328741073608e-02,5.425099283456802368e-02,5.899234861135482788e-02,5.950816720724105835e-02,6.097827479243278503e-02,5.076144263148307800e-02,5.673205852508544922e-02,5.927145481109619141e-02
1.863362267613410950e-02,2.017684094607830048e-02,2.062020823359489441e-02,1.748946681618690491e-02,2.013695612549781799e-02,1.919901184737682343e-02,2.279547601938247681e-02,1.940829120576381683e-02
